,split0_test_rmse,split1_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_reg_all
0,1.0202178824695083,1.020317618467807,1.0202677504686577,4.986799914941109e-05,32,0.820123971736312,0.8210292523796434,0.8205766120579777,0.00045264032166569823,30,12.60732352733612,0.13778865337371826,5.8431127071380615,0.14159822463989258,"{'n_factors': 10, 'reg_all': 0.01}",10,0.01
1,1.0126886750717106,1.0116990262058005,1.0121938506387556,0.00049482443295501,23,0.8173674457561488,0.8177037057196398,0.8175355757378944,0.00016812998174547955,19,12.671343922615051,0.02724754810333252,5.901382327079773,0.012692093849182129,"{'n_factors': 10, 'reg_all': 0.02}",10,0.02
2,1.0090512189590781,1.0072393830078574,1.0081453009834678,0.0009059179756103486,10,0.8161950150226137,0.8157812277888823,0.8159881214057481,0.00020689361686571095,2,12.931206703186035,0.15229439735412598,6.027309536933899,0.18113672733306885,"{'n_factors': 10, 'reg_all': 0.03}",10,0.03
3,1.0077561613647366,1.0056643107984795,1.006710236081608,0.0010459252831285237,3,0.8163421424028235,0.8156313991970099,0.8159867707999167,0.0003553716029068288,1,12.714678525924683,0.03181910514831543,5.907514691352844,0.10391223430633545,"{'n_factors': 10, 'reg_all': 0.04}",10,0.04
4,1.0070119173118195,1.0054747357627274,1.0062433265372734,0.0007685907745460518,1,0.816598776285674,0.8162207463335244,0.8164097613095992,0.00018901497607481943,5,13.83478581905365,1.0570117235183716,7.601114630699158,1.94599187374115,"{'n_factors': 10, 'reg_all': 0.05}",10,0.05
5,1.0321488857738645,1.0317047654287266,1.0319268256012957,0.00022206017256898303,39,0.8263705688714792,0.8275172683621754,0.8269439186168273,0.0005733497453481173,38,22.716241717338562,0.9338687658309937,9.271221280097961,1.0276588201522827,"{'n_factors': 20, 'reg_all': 0.01}",20,0.01
6,1.017653021430497,1.015141413860279,1.016397217645388,0.0012558037851090331,27,0.8196728077953733,0.8181611007288978,0.8189169542621355,0.0007558535332377603,26,29.077427744865417,3.5421849489212036,7.0044426918029785,0.5873873233795166,"{'n_factors': 20, 'reg_all': 0.02}",20,0.02
7,1.0107925107567342,1.0093187719173353,1.0100556413370347,0.0007368694196994152,17,0.8167632449285059,0.8165920963961185,0.8166776706623122,8.557426619371089e-05,11,18.612000107765198,0.18502533435821533,7.091346025466919,0.8005478382110596,"{'n_factors': 20, 'reg_all': 0.03}",20,0.03
8,1.008244177431075,1.006865133827247,1.007554655629161,0.0006895218019140614,8,0.8164009501318238,0.8162307875535671,0.8163158688426955,8.508128912831925e-05,3,18.6680189371109,0.38616931438446045,6.953702092170715,0.32742488384246826,"{'n_factors': 20, 'reg_all': 0.04}",20,0.04
9,1.0070731411845448,1.0057897797971205,1.0064314604908327,0.0006416806937121766,2,0.8163137820098465,0.8163255776659697,0.8163196798379081,5.897828061596222e-06,4,17.368443608283997,0.5967448949813843,6.622955679893494,0.14835059642791748,"{'n_factors': 20, 'reg_all': 0.05}",20,0.05
10,1.0394241282103194,1.0394433936737413,1.0394337609420303,9.632731710951248e-06,43,0.8299805480621836,0.8302344161228019,0.8301074820924927,0.00012693403030916706,42,24.20600187778473,3.048822045326233,9.2212553024292,1.6971909999847412,"{'n_factors': 30, 'reg_all': 0.01}",30,0.01
11,1.0222155828058368,1.020566391516166,1.0213909871610014,0.0008245956448353908,34,0.8224292441741973,0.8217942346939507,0.822111739434074,0.00031750474012326446,34,26.96949553489685,0.7465713024139404,10.136714339256287,0.40408313274383545,"{'n_factors': 30, 'reg_all': 0.02}",30,0.02
12,1.0127109689178595,1.0112282875312604,1.01196962822456,0.0007413406932995636,22,0.8178826055625809,0.817449264152883,0.817665934857732,0.00021667070484893136,21,24.37838327884674,0.9881380796432495,8.858682632446289,1.7955422401428223,"{'n_factors': 30, 'reg_all': 0.03}",30,0.03
13,1.009039214919658,1.0078006870164236,1.0084199509680407,0.000619263951617266,12,0.8165770136301522,0.8165157415887924,0.8165463776094724,3.063602067993054e-05,6,22.87856435775757,1.671605110168457,8.953720808029175,0.8355917930603027,"{'n_factors': 30, 'reg_all': 0.04}",30,0.04
14,1.007792901899686,1.0060939785391803,1.006943440219433,0.0008494616802529054,4,0.8169421370238045,0.8163935941322525,0.8166678655780285,0.0002742714457759643,10,23.751602053642273,0.47427356243133545,9.693042993545532,1.08992338180542,"{'n_factors': 30, 'reg_all': 0.05}",30,0.05
15,1.046656806160796,1.0453683012756696,1.0460125537182328,0.0006442524425631646,44,0.8347950820577063,0.8336733975384764,0.8342342397980913,0.0005608422596149465,44,31.26679766178131,1.9945398569107056,9.870476841926575,1.1097527742385864,"{'n_factors': 40, 'reg_all': 0.01}",40,0.01
16,1.0255293609683336,1.0238196364326086,1.0246744987004712,0.0008548622678624662,35,0.8240209530207371,0.8234956515713578,0.8237583022960475,0.00026265072468961703,35,26.963719129562378,1.6227271556854248,8.686662554740906,2.262759804725647,"{'n_factors': 40, 'reg_all': 0.02}",40,0.02
17,1.01405461102003,1.01374018534285,1.0138973981814399,0.0001572128385899374,25,0.8180989009916068,0.8189898665917594,0.818544383791683,0.00044548280007633556,25,29.533946990966797,1.0870354175567627,10.577632308006287,0.32185184955596924,"{'n_factors': 40, 'reg_all': 0.03}",40,0.03
