,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all,param_n_epochs,param_biased
0,1.006810507534394,1.0056863760685193,1.004159955852371,1.0073687572800776,1.006594843003463,1.0061240879477649,0.001121729958195117,3,8.789087963104247,0.17813621823656972,2.6267217636108398,0.02548906407981273,"{'n_factors': 2, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",2,0.007,0.02,10,True
1,1.0070328839829978,1.004289314239685,1.0038424949451399,1.0078244576577298,1.0061723090755341,1.0058322919802172,0.0015405083198404505,1,9.480004215240479,0.32896950631438615,2.6249709606170653,0.19822979198315993,"{'n_factors': 4, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",4,0.007,0.02,10,True
2,1.0068996632191531,1.0060903391008291,1.0043266606025727,1.0079583410538773,1.0069192313099706,1.0064388470572805,0.0012111789286583837,8,10.312944269180297,0.9851559614646519,2.6122578620910644,0.21564213748804403,"{'n_factors': 6, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",6,0.007,0.02,10,True
3,1.0069587064287693,1.0060336627902724,1.0043294045935034,1.0071810016843759,1.0065537731121958,1.0062113097218233,0.0010187552068897012,6,11.835613918304443,0.5797793580260721,2.9358848094940186,0.14135424008938408,"{'n_factors': 8, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",8,0.007,0.02,10,True
4,1.007002951484244,1.0069908885104613,1.0035948521887037,1.0068578881639951,1.0063458011089428,1.0061584762912694,0.001304031023288272,4,12.286881351470948,0.9051364238133609,2.910261392593384,0.4983462543617289,"{'n_factors': 10, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",10,0.007,0.02,10,True
5,1.007673243564311,1.005677068415492,1.0034426763982234,1.0070041881120493,1.006408012443056,1.0060410377866265,0.0014567347223429824,2,12.376799249649048,1.4991985122201597,2.6395256519317627,0.31171511899741583,"{'n_factors': 12, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",12,0.007,0.02,10,True
6,1.007274680860969,1.0063483994602216,1.004553803505404,1.007195493672373,1.0055182591906373,1.0061781273379211,0.001033470886643668,5,12.144235610961914,0.16824615437579482,2.5742536544799806,0.12777419476612942,"{'n_factors': 14, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",14,0.007,0.02,10,True
7,1.0055935083899785,1.0071097458008744,1.0043409068781544,1.007564496994973,1.007369915621369,1.00639571473707,0.0012402201457653236,7,12.792906045913696,0.3501171534128694,2.5306559562683106,0.10706998736975586,"{'n_factors': 16, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",16,0.007,0.02,10,True
8,1.00791127893117,1.0063470421844827,1.0030810854480126,1.0081510504856586,1.0074276473476305,1.006583620879391,0.0018577198970292713,11,12.988343667984008,0.04145547352406639,2.4855366706848145,0.08225035531743591,"{'n_factors': 18, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",18,0.007,0.02,10,True
9,1.0074025522189916,1.0060480353428858,1.0037457164751888,1.0084727105475804,1.0066848189646627,1.0064707667098616,0.001582809042323515,9,13.59486789703369,0.12377821666270107,2.467530107498169,0.08527987328728483,"{'n_factors': 20, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",20,0.007,0.02,10,True
10,1.007806693339574,1.0065459669054793,1.0048725868449706,1.008022605383768,1.0062167086441811,1.0066929122235946,0.0011463454570197333,12,14.463171672821044,0.501619470951077,2.602893018722534,0.07707440411465914,"{'n_factors': 22, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",22,0.007,0.02,10,True
11,1.0076244996041017,1.0065166420152507,1.0045216717192564,1.0078286881417666,1.006214169098713,1.0065411341158177,0.0011846696170213532,10,15.8908212184906,1.7449587841348297,3.018783378601074,0.5167365414699847,"{'n_factors': 24, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",24,0.007,0.02,10,True
