,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_bsl_options
0,0.9982238758086569,1.0005998508081182,1.0014126461135608,1.000363608118319,0.9993175095051836,0.9999834980707677,0.0011051379776401676,30,0.98660888671875,0.06605517143778993,3.471515655517578,0.05822645964924053,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 1, 'n_epochs': 10}"
1,0.9982238484865169,1.0005971710554065,1.0014168314342249,1.0003674294696834,0.9993143086236765,0.9999839178139018,0.001106582367153838,31,1.033022689819336,0.010018678726677409,3.389616870880127,0.06968908297424117,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 2, 'n_epochs': 10}"
2,0.998232164597377,1.000597705311477,1.0014353593182135,1.0003870574238225,0.9993138260443791,0.999993222539054,0.001110240379318058,32,0.950848913192749,0.12310194569276499,3.453298044204712,0.08690323435862973,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 5, 'n_epochs': 10}"
3,0.9982662231895351,1.0006196095759976,1.001481301111909,1.0004378560802256,0.9993339538651959,1.0000277887645725,0.0011149551885894374,34,0.7941714763641358,0.23294854887039199,2.5135302543640137,0.7880548325784634,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 10, 'n_epochs': 10}"
4,0.9983176518792896,1.0006600112002824,1.0015419187304413,1.0005036295643808,0.9993730813804258,1.000079258550964,0.0011188103913733075,35,0.5544563293457031,0.004898948992336361,1.782658624649048,0.057791373146674735,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 15, 'n_epochs': 10}"
5,0.9983814532313593,1.00071374051306,1.0016133728525625,1.0005800672712484,0.9994264239351978,1.0001430115606855,0.0011220781730775127,36,0.5701669216156006,0.02261004900556513,1.8984179496765137,0.11706030807297153,"{'bsl_options': {'method': 'als', 'reg_u': 1, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 1, 'reg_i': 20, 'n_epochs': 10}"
6,0.99808222062005,1.0004621257172945,1.0012953963398068,1.0002492318830798,0.999179510580411,0.9998536970281284,0.0011133540521541087,25,0.5852662086486816,0.022362392829006473,1.93719801902771,0.21182608830178,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 1, 'n_epochs': 10}"
7,0.9980823293756315,1.0004596540598838,1.001299900039686,1.000253430854253,0.999176614579973,0.9998543857818856,0.0011148682286911235,26,0.5802552700042725,0.03666337833322121,1.762988519668579,0.04787142107774651,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 2, 'n_epochs': 10}"
8,0.998091176557038,1.000460961402845,1.0013194190837649,1.0002742697953118,0.9991770844607857,0.999864582259949,0.00111872097983502,27,0.5770560264587402,0.03560638836569596,1.997072124481201,0.2692771807780795,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 5, 'n_epochs': 10}"
9,0.9981263765429347,1.0004844815418004,1.001367246937719,1.0003272119191229,0.9991989830305449,0.9999008599944244,0.0011237529562814295,28,0.5614971160888672,0.014635744578279363,1.7442779541015625,0.05400543100991926,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 10, 'n_epochs': 10}"
10,0.9981792830853675,1.000526732224343,1.0014300616031,1.000395331342992,0.9992400566562084,0.9999542929824022,0.0011279085253058133,29,0.5542016983032226,0.0035125498028805015,1.7290499687194825,0.039590819630596914,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 15, 'n_epochs': 10}"
11,0.9982447854044587,1.0005824825801737,1.0015038863508217,1.0004742411362588,0.9992955006981401,1.0000201792339705,0.0011314527213293168,33,0.5566733837127685,0.006880916132385866,1.7882996082305909,0.029300923289505936,"{'bsl_options': {'method': 'als', 'reg_u': 2, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 2, 'reg_i': 20, 'n_epochs': 10}"
12,0.9977690002483977,1.0001564510470187,1.0010462055600908,1.0000077618027652,0.9988686744624522,0.9995696186241447,0.00113579927538305,18,0.5727445125579834,0.021104803267721215,1.761419916152954,0.07762479463027723,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 1, 'n_epochs': 10}"
