,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi,param_n_epochs,param_biased
0,1.0788649319813821,1.0790993362255636,1.0816028835803744,1.082364577734989,1.078106282964884,1.0800076024974388,0.0016640861454722206,36,61.32239170074463,12.240525843213016,3.5111318588256837,0.7819704545696681,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,0.01,20,True
1,1.0059548147859203,1.0047557019847646,1.0079685172113013,1.011119796394333,1.0074875614808305,1.00745727837143,0.0021555617497519357,33,53.66688499450684,8.271749737134352,3.599472713470459,1.3929972008114742,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,0.05,20,True
2,0.9996236677354011,0.9989716346507712,1.0021024690880822,1.0044849405926655,1.0005287218976524,1.0011422867929145,0.0019743191692163215,4,59.86872458457947,11.18439391957906,4.169153308868408,0.6942116833015817,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,0.1,20,True
3,1.0048570131886132,1.0036361563559133,1.0065306638943827,1.0090172814196599,1.0052724239382889,1.0058627077593716,0.0018283811466874458,10,55.85652041435242,9.992088118226775,4.063606405258179,0.7491204217280288,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,0.5,20,True
4,1.004846074450416,1.0036596081476268,1.0065377369499346,1.0090484328724056,1.0052680008002235,1.0058719706441213,0.0018354807245060348,30,60.878045129776,10.422241352555055,3.3819350719451906,0.9746494321178177,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,1.0,20,True
5,1.0048490533644314,1.0036579937988843,1.0065263886305005,1.0090378537910074,1.0052792389168816,1.005870105700341,0.0018303248751720398,12,53.15861911773682,9.796915766658627,3.7599432468414307,0.80217741191907,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.01, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.01,5.0,20,True
6,1.0569549448217102,1.0545148223519225,1.0571942195779034,1.0595894531055228,1.0567644024230973,1.0570035684560313,0.0016109977709846384,35,68.29973797798156,6.3247822428234555,3.7412909030914308,1.0383585483046338,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,0.01,20,True
7,0.9965420717694122,0.9955231948694963,0.9976866837778238,1.0007901142595184,0.9972286800284793,0.9975541489409461,0.0017744881898986919,3,64.64573254585267,13.332776408495269,4.277275419235229,0.333001278881897,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,0.05,20,True
8,1.0009871752786408,0.999960792552514,1.0033435507901383,1.0056433111091483,1.001779262238115,1.002342818393711,0.001986158523280116,5,64.67096695899963,7.835820220885683,3.6590667724609376,0.9233919987111315,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,0.1,20,True
9,1.004839773488449,1.0036429283406576,1.0065259005884553,1.0090280740682187,1.0052702832587417,1.0058613919489043,0.001832164944554229,9,53.170442295074466,8.989758437218342,2.8627771377563476,0.7649709796443595,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,0.5,20,True
10,1.0048549372890627,1.0036596821924553,1.0065304575766805,1.0090409559825118,1.005278430821835,1.005872892772509,0.0018306794051934536,32,59.66810336112976,9.798542367633505,3.661267566680908,0.9608591831619433,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,1.0,20,True
11,1.0048526746586939,1.0036595311069698,1.006530493706264,1.0090391332902635,1.0052786050070346,1.0058720875538452,0.0018303282532315232,31,59.55134863853455,5.421887213580823,3.657487678527832,0.9688623987722448,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.05, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.05,5.0,20,True
