,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all,param_n_epochs,param_biased
0,1.0080534928201852,1.0024597765605212,1.006006737723205,1.0079496355974518,1.0056884885291602,1.0060316262461046,0.002031904398489442,2,13.205429840087891,0.8165923770174608,2.442043685913086,0.1068573924788478,"{'n_factors': 20, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",20,0.007,0.02,10,True
1,1.00834456793213,1.0028306933394775,1.0054174631149604,1.0076885896389853,1.0055596636546051,1.0059681955360316,0.0019453033781679698,1,14.202690410614014,0.1713878482513381,2.4610079765319823,0.06236327896176548,"{'n_factors': 25, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",25,0.007,0.02,10,True
2,1.0086202668821673,1.0036753030520944,1.0068494619448407,1.007918664789636,1.005566593776755,1.0065260580890985,0.0017593765937355674,3,15.896446228027344,0.4658480754268507,2.4008076190948486,0.07179184351328803,"{'n_factors': 30, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",30,0.007,0.02,10,True
3,1.009311022420879,1.003562777191381,1.0073043603013887,1.0081825078127868,1.0067963313803223,1.0070313998213514,0.0019330202455740432,4,17.7729238986969,0.19070194023130993,2.527890157699585,0.14336447376194683,"{'n_factors': 35, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",35,0.007,0.02,10,True
4,1.0097221053164382,1.0049384536906858,1.007724722444309,1.0097894827327825,1.0060415884790648,1.0076432705326561,0.0019398883900651842,5,19.291825008392333,0.4604803693254771,2.6271652221679687,0.1320637089048805,"{'n_factors': 40, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",40,0.007,0.02,10,True
5,1.010495768158479,1.0041644532189462,1.0082219059296837,1.0083032195525747,1.0083081272969576,1.0078986948313282,0.0020554849011537113,6,22.671749210357667,1.614867685526275,3.3448609352111816,0.5310025711806572,"{'n_factors': 45, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",45,0.007,0.02,10,True
6,1.0106323485515145,1.0053446159916894,1.0074096417386769,1.0096178182390028,1.0085957682173283,1.0083200385476423,0.00183242998601899,8,24.413156270980835,0.9196290799665834,4.179589080810547,0.6188340766651269,"{'n_factors': 50, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",50,0.007,0.02,10,True
7,1.011163041109733,1.0055057512349477,1.007962401242391,1.0090460914693,1.0078782538804651,1.0083111077873672,0.0018359035286942896,7,26.378536558151247,0.9891245126992572,3.643903064727783,0.7803447215997817,"{'n_factors': 55, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",55,0.007,0.02,10,True
8,1.0117269109012328,1.006503184685003,1.0091922414030075,1.0095784825450718,1.0085730722248227,1.0091147783518275,0.001682743329651042,10,31.420661830902098,1.6404558552550894,4.2974440574646,0.8091186570463649,"{'n_factors': 60, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",60,0.007,0.02,10,True
9,1.010602387860633,1.0052373568188266,1.0097044558315602,1.0108342963033499,1.0088030883943457,1.0090363170417431,0.00203067530908675,9,30.763599586486816,0.880520365332996,3.2727111339569093,0.7353442651809102,"{'n_factors': 65, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",65,0.007,0.02,10,True
10,1.0127976279266773,1.007322735842561,1.0109890861896396,1.0100455155060943,1.0091966440814326,1.010070321909281,0.0018218388191020554,13,32.3430839061737,3.033567690557897,3.636596202850342,0.7013513135055304,"{'n_factors': 70, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",70,0.007,0.02,10,True
11,1.011915496259486,1.006411711398411,1.0099335871853565,1.011147673145357,1.0105895546444115,1.0099996045266046,0.0019086162115874547,12,34.2555878162384,4.60135163930948,3.055045557022095,0.7464631599787661,"{'n_factors': 75, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",75,0.007,0.02,10,True
12,1.0120375738663134,1.0074467656365387,1.010370666878215,1.0101472480832512,1.009548758910587,1.0099102026749809,0.0014827737272383801,11,35.32326602935791,2.4204941830606495,2.9352919101715087,0.4793178561213851,"{'n_factors': 80, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",80,0.007,0.02,10,True
13,1.013641754329933,1.0075166742592299,1.0107306745948388,1.0126098097515872,1.0109566323433465,1.0110911090557873,0.002085033535443185,14,43.40657305717468,3.433259669131518,3.835485887527466,0.8284353298464813,"{'n_factors': 85, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",85,0.007,0.02,10,True
14,1.0142926210431273,1.0074218002910653,1.0107552292151307,1.0131311938996597,1.0107794099203153,1.0112760508738596,0.002362812147598668,15,39.38030405044556,2.4785122657683103,3.3884050369262697,0.7936263084061576,"{'n_factors': 90, 'lr_all': 0.007, 'reg_all': 0.02, 'n_epochs': 10, 'biased': True}",90,0.007,0.02,10,True
