,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,split10_test_rmse,split11_test_rmse,split12_test_rmse,split13_test_rmse,split14_test_rmse,split15_test_rmse,split16_test_rmse,split17_test_rmse,split18_test_rmse,split19_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all,param_n_epochs,param_biased
0,1.0128560175549437,1.0091865046791115,1.0078038639778875,1.0106331669200497,1.006310208370048,1.0165518694377873,1.0094682410722664,1.00634283439566,1.0089141562592656,1.0107893262147152,1.0105928324740243,1.0103028739692514,1.012786095936068,1.0095598630658429,1.0077845897880575,1.0043148123060972,1.0069202592464197,1.0126872435573093,1.0102741891732923,1.0083202674455782,1.0096199607921839,0.0027238447295288098,6,21.07590506076813,1.6103338180572753,0.6501034498214722,0.07712790783966449,"{'n_factors': 1, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",1,0.01,0.1,20,True
1,1.0125681217842863,1.0093198171221798,1.0069683623494732,1.010297081714795,1.006272221665465,1.0165756851406913,1.0095998063363771,1.0067956756763632,1.0088825385475115,1.010323127787531,1.010390262277431,1.0104284458742385,1.012926271398767,1.0100487352239396,1.0074688952223347,1.0037275418859766,1.0066438382951937,1.0126417238087018,1.0108595934629383,1.0079176442397317,1.0095327694906964,0.002818306296960933,5,21.42211434841156,1.6234883161960239,0.7199751973152161,0.17712016309181525,"{'n_factors': 2, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",2,0.01,0.1,20,True
2,1.0121652243862311,1.0079940975225623,1.0068556898182357,1.0099083699754186,1.0045586543285827,1.015044019347128,1.0092673433271864,1.0052214718158419,1.0083940108439093,1.0101713614128045,1.0093115238480783,1.0087015773662962,1.0113661957873643,1.0087424451543983,1.0064213826319075,1.002506886035138,1.0050255378028423,1.0114993736051752,1.0097603182122734,1.0065713772995195,1.0084743430260448,0.002884889846196215,4,25.079375648498534,2.0710701157319393,0.8409265279769897,0.23359733144546319,"{'n_factors': 5, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",5,0.01,0.1,20,True
3,1.010579523824866,1.0070600438793504,1.0046390481147194,1.0088129379278588,1.0047448572937239,1.0147609279700467,1.006688232034625,1.0041415906501507,1.0064356733477824,1.0080172931414095,1.0068085761675174,1.0078278528475402,1.009766442226234,1.0079175081221439,1.0055456695804859,1.001289404777324,1.0052153789538507,1.0107395822706864,1.0073482048577593,1.005467839507268,1.0071903293747673,0.0028237629621578075,3,30.80442819595337,2.804977821519941,0.9668638229370117,0.25998647683477444,"{'n_factors': 10, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",10,0.01,0.1,20,True
4,1.0087886837894287,1.004966983236723,1.0032659160594197,1.0066033272385466,1.0020738673390504,1.013588064751439,1.005966635636848,1.00368281814627,1.004709537654751,1.0068941136138752,1.0060267663616995,1.0065784187747793,1.009083400430531,1.0063763815546751,1.0037332098000074,1.0005513102645782,1.0030540231060605,1.0084750237432107,1.0071478772576026,1.0048929279391008,1.0058229643349295,0.0028199583808981615,2,47.38395081758499,5.001741330337,0.9924982070922852,0.1856077117148788,"{'n_factors': 20, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",20,0.01,0.1,20,True
5,1.006968037404463,1.0036144516523635,1.0014823098486338,1.004438448171721,0.9993773960591487,1.0102472579144288,1.0034601655149564,1.0013553312297185,1.002831535925465,1.0044838636534406,1.0045128640779413,1.004239245724427,1.0063595480391574,1.0035837567603885,1.0016828065622712,0.9983764987914863,1.0012383141375125,1.0059967892626893,1.004876767476923,1.0016349707428653,1.0035380179475002,0.0026601924400536147,1,80.11436638832092,12.67964498440185,1.030072271823883,0.34297297270225363,"{'n_factors': 50, 'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20, 'biased': True}",50,0.01,0.1,20,True
